id,rating
0,9
1,8
2,9
3,7
4,7
5,9
6,10
7,7
8,10
9,7
10,7
11,10
12,10
13,9
14,10
15,10
16,10
17,10
18,9
19,10
20,8
21,8
22,10
23,10
24,10
25,7
26,8
27,9
28,7
29,10
30,10
31,7
32,10
33,10
34,10
35,10
36,10
37,9
38,8
39,10
40,10
41,8
42,9
43,9
44,9
45,9
46,7
47,10
48,10
49,10
50,10
51,7
52,10
53,8
54,10
55,8
56,7
57,10
58,9
59,8
60,9
61,8
62,9
63,8
64,7
65,10
66,10
67,9
68,10
69,8
70,10
71,10
72,10
73,8
74,10
75,8
76,10
77,10
78,8
79,9
80,10
81,10
82,10
83,9
84,10
85,10
86,9
87,8
88,8
89,8
90,7
91,7
92,10
93,8
94,10
95,8
96,10
97,7
98,10
99,10
100,9
101,7
102,10
103,10
104,8
105,10
106,9
107,9
108,10
109,10
110,10
111,9
112,10
113,8
114,7
115,8
116,7
117,10
118,10
119,7
120,8
121,8
122,8
123,7
124,7
125,9
126,7
127,8
128,10
129,10
130,10
131,10
132,7
133,8
134,10
135,7
136,10
137,7
138,7
139,7
140,10
141,7
142,9
143,7
144,10
145,8
146,10
147,9
148,8
149,8
150,9
151,10
152,9
153,8
154,10
155,10
156,10
157,9
158,10
159,10
160,10
161,10
162,10
163,10
164,10
165,7
166,10
167,10
168,8
169,10
170,10
171,10
172,8
173,8
174,8
175,10
176,9
177,9
178,10
179,9
180,7
181,8
182,9
183,10
184,9
185,10
186,10
187,8
188,8
189,10
190,9
191,7
192,9
193,10
194,10
195,10
196,10
197,10
198,8
199,9
200,10
201,10
202,8
203,8
204,10
205,8
206,8
207,9
208,8
209,8
210,9
211,10
212,8
213,10
214,10
215,8
216,7
217,7
218,7
219,8
220,8
221,10
222,8
223,9
224,9
225,8
226,8
227,7
228,9
229,10
230,8
231,7
232,10
233,8
234,10
235,10
236,9
237,10
238,9
239,7
240,10
241,8
242,10
243,7
244,9
245,10
246,8
247,8
248,10
249,7
250,9
251,7
252,10
253,8
254,9
255,8
256,10
257,7
258,7
259,10
260,7
261,10
262,7
263,10
264,10
265,10
266,10
267,10
268,10
269,10
270,10
271,10
272,8
273,10
274,8
275,10
276,10
277,7
278,8
279,8
280,10
281,8
282,10
283,7
284,9
285,10
286,8
287,10
288,7
289,8
290,7
291,8
292,7
293,10
294,7
295,10
296,10
297,9
298,10
299,10
300,10
301,7
302,8
303,9
304,8
305,7
306,8
307,10
308,7
309,8
310,8
311,8
312,7
313,9
314,7
315,9
316,10
317,7
318,8
319,8
320,9
321,7
322,8
323,9
324,8
325,10
326,8
327,9
328,10
329,9
330,8
331,8
332,10
333,8
334,10
335,7
336,9
337,7
338,9
339,8
340,9
341,7
342,7
343,7
344,10
345,7
346,10
347,8
348,9
349,8
350,10
351,7
352,7
353,10
354,10
355,10
356,9
357,10
358,8
359,9
360,9
361,10
362,8
363,7
364,10
365,9
366,9
367,8
368,9
369,10
370,10
371,8
372,7
373,8
374,9
375,9
376,9
377,8
378,8
379,10
380,9
381,10
382,10
383,10
384,8
385,10
386,10
387,10
388,7
389,10
390,8
391,8
392,8
393,10
394,8
395,7
396,7
397,9
398,10
399,9
400,7
401,7
402,7
403,10
404,7
405,10
406,9
407,7
408,10
409,7
410,8
411,10
412,10
413,10
414,8
415,7
416,7
417,8
418,9
419,7
420,8
421,10
422,8
423,7
424,9
425,8
426,7
427,10
428,9
429,7
430,8
431,7
432,10
433,9
434,10
435,9
436,9
437,9
438,10
439,10
440,8
441,8
442,10
443,7
444,7
445,10
446,9
447,8
448,10
449,10
450,8
451,10
452,10
453,10
454,10
455,7
456,10
457,10
458,10
459,7
460,10
461,7
462,7
463,9
464,10
465,10
466,8
467,8
468,9
469,9
470,8
471,9
472,7
473,10
474,8
475,10
476,9
477,8
478,9
479,10
480,8
481,10
482,10
483,8
484,9
485,7
486,7
487,10
488,9
489,10
490,8
491,9
492,10
493,9
494,8
495,8
496,7
497,7
498,10
499,10
500,9
501,10
502,9
503,8
504,8
505,10
506,8
507,9
508,7
509,10
510,9
511,7
512,7
513,10
514,9
515,10
516,8
517,10
518,8
519,9
520,9
521,9
522,8
523,7
524,10
525,9
526,8
527,10
528,8
529,10
530,10
531,10
532,10
533,8
534,8
535,7
536,10
537,8
538,8
539,10
540,7
541,7
542,8
543,7
544,10
545,10
546,7
547,8
548,10
549,9
550,8
551,7
552,7
553,9
554,7
555,7
556,10
557,8
558,10
559,8
560,10
561,7
562,9
563,8
564,10
565,8
566,10
567,8
568,10
569,8
570,9
571,9
572,10
573,8
574,10
575,7
576,8
577,10
578,8
579,8
580,9
581,8
582,10
583,7
584,7
585,10
586,7
587,9
588,10
589,10
590,10
591,10
592,9
593,7
594,10
595,8
596,10
597,9
598,8
599,10
600,8
601,7
602,8
603,9
604,10
605,8
606,9
607,10
608,9
609,9
610,10
611,8
612,10
613,9
614,9
615,10
616,10
617,9
618,10
619,7
620,10
621,7
622,10
623,7
624,8
625,9
626,7
627,8
628,7
629,8
630,10
631,10
632,10
633,9
634,10
635,10
636,8
637,7
638,10
639,8
640,10
641,10
642,10
643,9
644,9
645,10
646,10
647,10
648,10
649,10
650,10
651,8
652,8
653,8
654,9
655,7
656,9
657,8
658,10
659,8
660,10
661,8
662,7
663,8
664,9
665,7
666,10
667,8
668,7
669,9
670,8
671,8
672,10
673,10
674,8
675,9
676,8
677,8
678,10
679,8
680,7
681,8
682,10
683,9
684,7
685,7
686,10
687,8
688,7
689,8
690,9
691,10
692,9
693,8
694,8
695,10
696,8
697,10
698,7
699,10
700,9
701,10
702,10
703,10
704,9
705,10
706,8
707,7
708,9
709,10
710,8
711,7
712,10
713,7
714,10
715,7
716,8
717,7
718,7
719,10
720,10
721,10
722,10
723,10
724,9
725,9
726,9
727,10
728,10
729,7
730,10
731,7
732,8
733,10
734,10
735,7
736,10
737,9
738,10
739,10
740,7
741,8
742,9
743,9
744,7
745,10
746,10
747,9
748,8
749,10
750,10
751,7
752,10
753,7
754,9
755,10
756,9
757,9
758,10
759,7
760,7
761,9
762,10
763,10
764,10
765,9
766,7
767,8
768,7
769,10
770,7
771,9
772,9
773,8
774,9
775,10
776,8
777,9
778,10
779,9
780,9
781,9
782,9
783,7
784,10
785,10
786,8
787,10
788,7
789,7
790,10
791,10
792,8
793,9
794,9
795,10
796,8
797,10
798,8
799,10
800,9
801,9
802,8
803,10
804,8
805,7
806,7
807,10
808,10
809,7
810,8
811,7
812,9
813,10
814,10
815,10
816,10
817,9
818,10
819,8
820,10
821,9
822,10
823,7
824,10
825,10
826,9
827,10
828,10
829,10
830,8
831,10
832,10
833,10
834,10
835,7
836,9
837,8
838,8
839,8
840,10
841,7
842,10
843,8
844,10
845,8
846,10
847,10
848,9
849,10
850,8
851,8
852,8
853,9
854,8
855,7
856,8
857,9
858,8
859,10
860,8
861,9
862,10
863,10
864,10
865,10
866,8
867,10
868,8
869,10
870,9
871,8
872,8
873,9
874,7
875,10
876,9
877,8
878,7
879,7
880,8
881,7
882,7
883,10
884,8
885,10
886,9
887,10
888,10
889,10
890,10
891,10
892,8
893,7
894,9
895,10
896,10
897,9
898,8
899,10
900,10
901,8
902,10
903,9
904,8
905,10
906,8
907,7
908,9
909,9
910,9
911,10
912,7
913,10
914,8
915,10
916,9
917,8
918,10
919,10
920,10
921,7
922,8
923,7
924,10
925,9
926,10
927,10
928,9
929,9
930,7
931,8
932,10
933,10
934,10
935,10
936,10
937,9
938,8
939,9
940,7
941,10
942,8
943,8
944,10
945,8
946,7
947,10
948,8
949,8
950,10
951,10
952,10
953,8
954,8
955,10
956,9
957,10
958,10
959,10
960,7
961,8
962,8
963,10
964,9
965,9
966,8
967,9
968,8
969,10
970,10
971,8
972,10
973,10
974,10
975,8
976,10
977,10
978,9
979,9
980,10
981,7
982,8
983,10
984,7
985,10
986,8
987,8
988,7
989,10
990,8
991,10
992,9
993,7
994,10
995,10
996,10
997,8
998,10
999,7
1000,8
1001,7
1002,10
1003,10
1004,10
1005,8
1006,7
1007,7
1008,9
1009,10
1010,8
1011,8
1012,7
1013,10
1014,8
1015,9
1016,9
1017,8
1018,8
1019,10
1020,8
1021,10
1022,10
1023,10
1024,10
1025,10
1026,7
1027,7
1028,10
1029,9
1030,7
1031,10
1032,10
1033,10
1034,10
1035,10
1036,9
1037,10
1038,7
1039,10
1040,9
1041,8
1042,8
1043,10
1044,10
1045,10
1046,8
1047,9
1048,10
1049,8
1050,7
1051,8
1052,7
1053,10
1054,10
1055,10
1056,10
1057,7
1058,7
1059,10
1060,8
1061,10
1062,8
1063,8
1064,9
1065,10
1066,8
1067,10
1068,9
1069,10
1070,7
1071,7
1072,7
1073,10
1074,10
1075,7
1076,10
1077,10
1078,10
1079,10
1080,8
1081,8
1082,9
1083,7
1084,9
1085,10
1086,9
1087,9
1088,9
1089,9
1090,10
1091,8
1092,10
1093,7
1094,8
1095,10
1096,10
1097,7
1098,10
1099,8
1100,9
1101,10
1102,7
1103,9
1104,10
1105,8
1106,8
1107,10
1108,10
1109,10
1110,10
1111,10
1112,10
1113,7
1114,10
1115,8
1116,8
1117,10
1118,10
1119,7
1120,8
1121,8
1122,10
1123,8
1124,8
1125,10
1126,7
1127,9
1128,8
1129,10
1130,10
1131,9
1132,9
1133,9
1134,8
1135,9
1136,7
1137,10
1138,8
1139,7
1140,10
1141,8
1142,9
1143,10
1144,9
1145,8
1146,8
1147,10
1148,8
1149,9
1150,8
1151,7
1152,10
1153,9
1154,9
1155,8
1156,10
1157,10
1158,10
1159,10
1160,7
1161,7
1162,10
1163,8
1164,10
1165,9
1166,10
1167,7
1168,10
1169,10
1170,9
1171,10
1172,10
1173,8
1174,9
1175,9
1176,9
1177,10
1178,7
1179,10
1180,9
1181,9
1182,10
1183,8
1184,8
1185,10
1186,9
1187,9
1188,10
1189,9
1190,9
1191,10
1192,10
1193,10
1194,8
1195,7
1196,7
1197,9
1198,8
1199,7
1200,8
1201,8
1202,10
1203,10
1204,10
1205,10
1206,10
1207,7
1208,10
1209,10
1210,8
1211,7
1212,8
1213,10
1214,8
1215,10
1216,8
1217,9
1218,10
1219,9
1220,8
1221,10
1222,7
1223,10
1224,8
1225,7
1226,9
1227,7
1228,10
1229,10
1230,8
1231,8
1232,10
1233,8
1234,7
1235,7
1236,7
1237,8
1238,8
1239,10
1240,7
1241,9
1242,8
1243,10
1244,10
1245,10
1246,10
1247,9
1248,7
1249,10
1250,9
1251,7
1252,9
1253,8
1254,9
1255,9
1256,8
1257,9
1258,8
1259,8
1260,8
1261,9
1262,8
1263,9
1264,7
1265,8
1266,10
1267,7
1268,7
1269,7
1270,10
1271,8
1272,9
1273,9
1274,10
1275,10
1276,9
1277,7
1278,10
1279,8
1280,10
1281,9
1282,10
1283,10
1284,10
1285,10
1286,9
1287,9
1288,7
1289,10
1290,7
1291,9
1292,8
1293,8
1294,8
1295,10
1296,8
1297,7
1298,8
1299,8
1300,8
1301,7
1302,7
1303,9
1304,10
1305,8
1306,9
1307,10
1308,10
1309,7
1310,8
1311,8
1312,10
1313,10
1314,10
1315,7
1316,8
1317,9
1318,10
1319,8
1320,7
1321,10
1322,8
1323,9
1324,8
1325,7
1326,7
1327,9
1328,10
1329,10
1330,9
1331,9
1332,8
1333,8
1334,7
1335,7
1336,10
1337,9
1338,10
1339,8
1340,10
1341,8
1342,7
1343,7
1344,7
1345,7
1346,9
1347,9
1348,10
1349,8
1350,7
1351,10
1352,8
1353,7
1354,8
1355,7
1356,10
1357,10
1358,8
1359,10
1360,10
1361,8
1362,10
1363,7
1364,7
1365,8
1366,8
1367,10
1368,10
1369,7
1370,9
1371,9
1372,8
1373,7
1374,8
1375,10
1376,10
1377,10
1378,10
1379,9
1380,10
1381,10
1382,10
1383,10
1384,9
1385,7
1386,9
1387,8
1388,9
1389,7
1390,7
1391,10
1392,8
1393,8
1394,8
1395,10
1396,10
1397,10
1398,10
1399,10
1400,10
1401,9
1402,9
1403,10
1404,10
1405,8
1406,10
1407,7
1408,8
1409,7
1410,9
1411,10
1412,10
1413,7
1414,10
1415,9
1416,8
1417,10
1418,10
1419,10
1420,8
1421,10
1422,8
1423,10
1424,8
1425,9
1426,7
1427,9
1428,10
1429,7
1430,9
1431,10
1432,9
1433,10
1434,8
1435,9
1436,10
1437,7
1438,10
1439,10
1440,7
1441,10
1442,9
1443,8
1444,9
1445,10
1446,10
1447,10
1448,8
1449,10
1450,9
1451,10
1452,9
1453,8
1454,10
1455,8
1456,10
1457,8
1458,8
1459,9
1460,8
1461,10
1462,10
1463,7
1464,10
1465,7
1466,8
1467,10
1468,8
1469,8
1470,10
1471,8
1472,8
1473,8
1474,8
1475,10
1476,7
1477,8
1478,9
1479,8
1480,10
1481,10
1482,10
1483,8
1484,7
1485,7
1486,8
1487,10
1488,9
1489,10
1490,9
1491,10
1492,10
1493,10
1494,9
1495,8
1496,10
1497,7
1498,7
1499,8
1500,9
1501,8
1502,10
1503,10
1504,9
1505,9
1506,8
1507,8
1508,9
1509,10
1510,9
1511,10
1512,10
1513,7
1514,8
1515,10
1516,9
1517,8
1518,10
1519,8
1520,8
1521,8
1522,8
1523,7
1524,9
1525,7
1526,7
1527,9
1528,10
1529,9
1530,9
1531,9
1532,8
1533,10
1534,10
1535,9
1536,7
1537,8
1538,10
1539,9
1540,9
1541,7
1542,9
1543,10
1544,8
1545,10
1546,10
1547,9
1548,7
1549,7
1550,10
1551,7
1552,8
1553,10
1554,8
1555,9
1556,9
1557,8
1558,9
1559,10
1560,10
1561,9
1562,9
1563,10
1564,9
1565,7
1566,7
1567,10
1568,10
1569,7
1570,10
1571,7
1572,7
1573,10
1574,10
1575,9
1576,9
1577,10
1578,8
1579,7
1580,9
1581,8
1582,10
1583,7
1584,7
1585,10
1586,8
1587,9
1588,10
1589,10
1590,9
1591,10
1592,8
1593,7
1594,9
1595,10
1596,8
1597,9
1598,10
1599,7
1600,8
1601,8
1602,10
1603,8
1604,10
1605,8
1606,8
1607,10
1608,10
1609,8
1610,10
1611,9
1612,10
1613,9
1614,7
1615,10
1616,8
1617,9
1618,10
1619,10
1620,10
1621,7
1622,10
1623,8
1624,7
1625,8
1626,7
1627,10
1628,7
1629,8
1630,10
1631,9
1632,7
1633,10
1634,10
